"STATE","HUC12"
"Maine","010500021905"
"Maine","010500021906"
"Maine","010500021907"
"Maine","010500021908"
"Maine","010500021909"
"Maine","010500030101"
"Maine","010500030102"
"Maine","010500030103"
"Maine","010500030104"
"Maine","010500030105"
"Maine","010500030106"
"Maine","010500030107"
"Maine","010500030201"
"Maine","010500030202"
"Maine","010500030203"
"Maine","010500030204"
"Maine","010500030205"
"Maine","010500030206"
"Maine","010500030301"
"Maine","010500030302"
"Maine","010500030303"
"Maine","010500030304"
"Maine","010500030305"
"Maine","010500030306"
"Maine","010500030307"
"Maine","010500030401"
"Maine","010500030402"
"Maine","010500030403"
"Maine","010500030404"
"Maine","010500030405"
"Maine","010500030406"
"Maine","010500030501"
"Maine","010500030502"
"Maine","010500030503"
"Maine","010500030504"
"Maine","010500030601"
"Maine","010500030602"
"Maine","010500030603"
"Maine","010500030604"
"Maine","010500030605"
"Maine","010500030606"
"Maine","010500040203"
"Maine","010500040204"
"Maine","010500040401"
"Maine","010500040402"
"Maine","010500040403"
"Maine","010500040404"
"Maine","010500040501"
"Maine","010500040502"
"Maine","010500040601"
"Maine","010500040602"
"Maine","010500040603"
"Maine","010500040604"
"Maine","010500040605"
"Maine","010500040606"
"Maine","010500040702"
"Maine","010500040901"
"Maine","010500040902"
"Maine","010500040904"
"Maine","010600010101"
"Maine","010600010102"
"Maine","010600010103"
"Maine","010600010104"
"Maine","010600010105"
"Maine","010600010106"
"Maine","010600010107"
"Maine","010600010108"
"Maine","010600010109"
"Maine","010600010110"
"Maine","010600010201"
"Maine","010600010202"
"Maine","010600010203"
"Maine","010600010204"
"Maine","010600010205"
"Maine","010600010206"
"Maine","010600010301"
"Maine","010600010302"
"Maine","010600010303"
"Maine","010600010304"
"Maine","010600010305"
"Maine","010600010306"
"Maine","010600010401"
"Maine","010600010402"
"Maine","010600010501"
"Maine","010600010502"
"Maine","010600010503"
"Maine","010600010504"
"Maine","010600010505"
"Maine","010600010506"
"Maine","010600010507"
"Maine","010600010601"
"Maine","010600010602"
"Maine","010600010603"
"Maine","010600010606"
"Maine","010600010607"
"New Hampshire","010600020101"
"New Hampshire","010600020102"
"New Hampshire","010600020103"
"New Hampshire","010600020104"
"New Hampshire","010600020105"
"New Hampshire","010600020106"
"New Hampshire","010600020201"
"New Hampshire","010600020202"
"New Hampshire","010600020203"
"New Hampshire","010600020204"
"New Hampshire","010600020301"
"New Hampshire","010600020302"
"New Hampshire","010600020303"
"Maine","010600020304"
"New Hampshire","010600020304"
"Maine","010600020401"
"New Hampshire","010600020401"
"Maine","010600020402"
"Maine","010600020403"
"Maine","010600020404"
"New Hampshire","010600020404"
"Maine","010600020405"
"New Hampshire","010600020405"
"Maine","010600020406"
"New Hampshire","010600020406"
"Maine","010600020501"
"Maine","010600020502"
"Maine","010600020503"
"Maine","010600020504"
"New Hampshire","010600020601"
"New Hampshire","010600020602"
"New Hampshire","010600020603"
"New Hampshire","010600020604"
"New Hampshire","010600020605"
"New Hampshire","010600020701"
"New Hampshire","010600020702"
"New Hampshire","010600020703"
"New Hampshire","010600020801"
"New Hampshire","010600020802"
"New Hampshire","010600020803"
"New Hampshire","010600020804"
"Maine","010600020901"
"New Hampshire","010600020901"
"Maine","010600020902"
"New Hampshire","010600020902"
"Maine","010600020903"
"New Hampshire","010600020903"
"Maine","010600020904"
"Maine","010600021001"
"New Hampshire","010600021001"
"Maine","010600021002"
"New Hampshire","010600021002"
"Maine","010600021003"
"Maine","010600021004"
"Maine","010600021005"
"Maine","010600021006"
"Maine","010600021007"
"Maine","010600021101"
"Maine","010600021102"
"Maine","010600021103"
"Maine","010600021104"
"Maine","010600021105"
"Maine","010600021106"
"Maine","010600030101"
"Maine","010600030102"
"Maine","010600030103"
"Maine","010600030104"
"Maine","010600030201"
"Maine","010600030202"
"Maine","010600030203"
"Maine","010600030204"
"Maine","010600030205"
"Maine","010600030206"
"Maine","010600030207"
"Maine","010600030301"
"Maine","010600030302"
"Maine","010600030303"
"Maine","010600030401"
"Maine","010600030402"
"New Hampshire","010600030501"
"New Hampshire","010600030502"
"Maine","010600030503"
"New Hampshire","010600030503"
"Maine","010600030504"
"New Hampshire","010600030504"
"Maine","010600030505"
"Maine","010600030506"
"New Hampshire","010600030506"
"Maine","010600030507"
"New Hampshire","010600030507"
"New Hampshire","010600030601"
"New Hampshire","010600030602"
"New Hampshire","010600030603"
"New Hampshire","010600030604"
"New Hampshire","010600030605"
"New Hampshire","010600030606"
"New Hampshire","010600030607"
"New Hampshire","010600030608"
"New Hampshire","010600030701"
"New Hampshire","010600030702"
"New Hampshire","010600030703"
"New Hampshire","010600030704"
"New Hampshire","010600030705"
"New Hampshire","010600030706"
"New Hampshire","010600030707"
"New Hampshire","010600030708"
"New Hampshire","010600030709"
"New Hampshire","010600030801"
"New Hampshire","010600030802"
"New Hampshire","010600030803"
"New Hampshire","010600030804"
"New Hampshire","010600030805"
"New Hampshire","010600030806"
"New Hampshire","010600030901"
"New Hampshire","010600030902"
"New Hampshire","010600030903"
"New Hampshire","010600030904"
"Maine","010600031001"
"New Hampshire","010600031001"
"New Hampshire","010600031002"
"New Hampshire","010600031003"
"Maine","010600031004"
"New Hampshire","010600031004"
"Massachusetts","010600031005"
"New Hampshire","010600031005"
"Maine","010600031101"
"Maine","010600031102"
"Maine","010600031103"
"Maine","010600031104"
"Maine","010600031105"
"Maine","010600031106"
"New Hampshire","010700010101"
"New Hampshire","010700010102"
"New Hampshire","010700010103"
"New Hampshire","010700010104"
"New Hampshire","010700010201"
"New Hampshire","010700010202"
"New Hampshire","010700010203"
"New Hampshire","010700010204"
"New Hampshire","010700010205"
"New Hampshire","010700010206"
"New Hampshire","010700010301"
"New Hampshire","010700010302"
"New Hampshire","010700010303"
"New Hampshire","010700010304"
"New Hampshire","010700010305"
"New Hampshire","010700010306"
"New Hampshire","010700010307"
"New Hampshire","010700010401"
"New Hampshire","010700010402"
"New Hampshire","010700010403"
"New Hampshire","010700010404"
"New Hampshire","010700010501"
"New Hampshire","010700010502"
"New Hampshire","010700010601"
"New Hampshire","010700010602"
"New Hampshire","010700010603"
