HUC12,Lake_Chla,Obs_HABs_Treat_Num,Obs_HABs_Treat_Risk,Obs_Deficiencies_n,Obs_AltSource,Obs_Cyano_ugl,Obs_DBP_Viol_n,Obs_Tot_Carbon_tt_n,Obs_turb_exceed_n,Obs_RTCR_mcl_n,Obs_HAB_DW_Risk,Obs_DW_Ops_Risk,Obs_Lake_Risk,Obs_DW_Viol_Risk,Pred_Cyan_ugl,Pred_DBP_freq,Pred_DWOps_Risk,Pred_Lake_Risk,Pred_HABDW_Risk,Est_HABDW_Risk,Est_DWOps_Risk,Est_Lake_Risk
10700060302,4.277317049,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.195195835,0,0.038938203,4.173021123,0.360530321,0.202767489,0.482189268,0.289294281,0.206022856,0.216985396
10700060501,5.051961556,3,0.666666667,0,1,NA,0,0,0,0,0.397732155,0.318275154,0.197831673,0,0.048603376,3.521861616,0.320899129,0.199059593,0.399581564,0.362569024,0.294117647,0.219915471
10700060502,5.051961556,3,0.666666667,0,1,NA,0,0,0,0,0.397732155,0.318275154,0.197831673,0,0.048603376,3.521861616,0.320899129,0.199059593,0.399581564,0.362569024,0.294117647,0.219915471
10700060702,4.57670385,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.197162537,0,0.045857348,5.369590676,0.350052609,0.203345909,0.477377196,0.290521239,0.206022856,0.21917164
10700060703,4.57670385,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.197162537,0,0.045857348,5.369590676,0.350052609,0.203345909,0.477377196,0.290521239,0.206022856,0.21917164
10700060902,6.57143635,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.197735316,0,0.066163852,8.089547619,0.343376463,0.205808802,0.467829325,0.290878576,0.206022856,0.219808357
10700061001,6.354775821,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.198691169,0,0.065761788,8.198714286,0.34714533,0.20919617,0.476636082,0.291474901,0.206022856,0.220870912
10700061002,6.354775821,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.198691169,0,0.065761788,8.198714286,0.34714533,0.20919617,0.476636082,0.291474901,0.206022856,0.220870912
10700061101,5.00703618,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.198653689,0,0.061970398,10.07850051,0.349370927,0.205252802,0.47576983,0.291451518,0.206022856,0.220829248
10700061102,4.913061043,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.198451716,0,0.063324705,6.190771123,0.350524425,0.205081539,0.474543432,0.291325514,0.206022856,0.220604729
10700061207,5.128262163,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.198352706,0,0.064673463,8.95707906,0.349904719,0.205466224,0.471641583,0.291263745,0.206022856,0.220494666
10700061302,5.128262163,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.198352706,0,0.064673463,8.95707906,0.349904719,0.205466224,0.471641583,0.291263745,0.206022856,0.220494666
10700061401,5.069855189,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.196131897,0,0.058261223,6.247840171,0.35631088,0.204292676,0.465062101,0.289878258,0.206022856,0.21802595
10700061402,5.042748548,NA,NA,NA,0,NA,0,0,0,0,NA,NA,0.196587164,0,0.039251227,8.624468599,0.266864317,0.196975633,0.426902806,0.179667374,0.070130343,0.218532039
10700061403,6.768802329,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.198838758,0,0.062480132,10.75023333,0.356029435,0.218320947,0.49398132,0.291566976,0.206022856,0.221034976
10700061404,5.069855189,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.196131897,0,0.058261223,6.247840171,0.35631088,0.204292676,0.465062101,0.289878258,0.206022856,0.21802595
10801020203,4.348267028,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.192102015,0,0.042241411,5.106957343,0.35046321,0.20045893,0.48247664,0.287364152,0.206022856,0.213546216
10801020403,4.348267028,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.192102015,0,0.042241411,5.106957343,0.35046321,0.20045893,0.48247664,0.287364152,0.206022856,0.213546216
10801030203,4.348267028,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.192102015,0,0.042241411,5.106957343,0.35046321,0.20045893,0.48247664,0.287364152,0.206022856,0.213546216
10801040401,4.218625699,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.196954778,0,0.047274938,6.708939394,0.344914924,0.207445265,0.467192228,0.290391626,0.206022856,0.218940689
10801040402,4.218625699,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.196954778,0,0.047274938,6.708939394,0.344914924,0.207445265,0.467192228,0.290391626,0.206022856,0.218940689
